Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,0,0,1,1,0,0
2,5,8,1,1,0,0
3,10,12,2,2,0,0
4,11,16,2,2,0,0
5,9,12,2,2,0,0
6,9,10,2,2,0,0
7,7,9,2,2,0,0
8,18,22,4,4,0,0
9,16,23,5,6,0,0
10,16,21,7,8,0,0
11,31,37,7,9,0,0
12,24,33,7,9,0,0
13,27,33,8,10,0,0
14,30,38,8,10,0,0
15,40,45,10,12,0,0
16,39,53,11,15,1,0
17,35,48,11,17,2,0
18,45,57,10,18,3,0
19,46,62,10,19,4,0
20,58,70,14,23,4,0
21,51,60,14,24,5,0
22,56,70,18,28,5,0
23,51,64,18,30,6,0
24,59,81,19,34,7,0
25,54,71,20,37,6,0
26,78,93,23,41,5,0
27,76,97,22,42,4,1
28,76,95,23,46,4,1
29,77,96,24,48,3,1
30,84,108,26,54,3,1
31,102,132,27,57,3,2
32,118,139,34,68,1,4
33,95,119,35,72,3,4
34,139,169,33,74,5,4
35,117,153,40,83,5,4
36,125,156,48,94,5,4
37,163,195,58,106,7,4
38,161,198,58,112,8,4
39,188,246,66,124,7,5
40,192,241,63,131,13,5
41,199,247,65,137,13,5
42,227,286,76,150,11,7
43,272,338,76,159,15,7
44,239,304,74,168,18,7
45,302,377,76,182,18,8
46,319,404,92,204,19,8
47,344,425,97,221,25,8
48,388,487,116,247,21,11
49,388,477,138,275,21,13
50,444,554,155,305,24,13
51,479,587,182,341,20,14
52,542,676,204,372,18,15
53,575,714,225,407,20,15
54,596,744,231,435,22,15
55,591,745,254,476,19,16
56,710,871,262,509,23,17
57,733,919,265,541,30,18
58,827,1019,282,588,33,20
59,870,1106,298,639,40,20
60,959,1172,317,689,45,20
61,991,1213,333,740,44,22
62,1077,1346,364,799,43,24
63,1210,1492,404,880,45,25
64,1279,1570,439,949,45,30
65,1303,1628,485,1028,45,34
66,1473,1802,518,1106,46,37
67,1550,1942,555,1197,55,38
68,1699,2131,608,1297,57,39
69,1799,2249,671,1412,62,41
70,1884,2372,738,1539,67,41
71,2035,2539,774,1654,76,43
72,2127,2677,823,1773,89,46
73,2374,2935,884,1913,99,52
74,2336,2922,950,2057,109,56
75,2267,2768,1005,2203,106,63
76,2170,2675,1063,2361,119,66
77,1982,2428,1097,2510,131,68
78,1824,2257,1132,2672,147,73
79,1599,1984,1163,2820,158,78
80,1396,1735,1194,2968,167,90
81,1211,1555,1202,3116,184,98
82,1125,1395,1185,3243,198,107
83,993,1220,1196,3400,207,114
84,869,1060,1152,3518,215,127
85,739,923,1122,3635,224,138
86,662,805,1070,3743,232,148
87,555,676,1039,3860,243,158
